Title,Product categories,Content,Sku,Additional Features Filter,Commutation for 3 phase motors,Supply Voltage DC 1,DC Supply Voltage Range,AC Supply Voltage Range,Status,Family,Form Factor,Product Series,Current Continuous (A),Current Peak (A),Network Commutation,Functional Safety,Size,Weight,Control_Command,Primary Feedback,Operating Mode,Motor Type,Drive Intelligence,Auxiliary Feedback,Network Communication,Network Configuration Service Channel,Environment,Separate Logic Supply,Isolation,Primary I/O Logic Level,Rated Power Continuous,Rated Power Peak,AC Supply Voltage,AC Input Phases Note,Built-in Shunt Resistor,Built-in Shunt Regulator,Additional Features,Digital Inputs 5v,Digital Outputs 5v,Digital Inputs 24v,Digital Outputs 24v,General Purpose IO,Aninputs,Anoutputs,Inductance Line to Line,Output Voltage DC,Clamping Voltage,AC Input phases,Rated Dissipation Capability,device_description,DC Supply Voltage (VDC)
AB15A100,Servo Drives,<br>The AB15A100 AxCent™ panel mount servo drive is targeted for centralized control and offers high bandwidth and quick response times.,AB15A100,,Trapezoidal,24|36|48|60|72,20 - 80,,Active,AxCent,Panel Mount,AXCENT_PAN,7.5,15,None,,129.3 x 75.8 x 25.1,249,±10 V Analog,Halls|Incremental Encoder,Current|Duty Cycle (Open Loop)|Velocity,Three Phase (Brushless)|Single Phase (Brushed),None,,None,,Standard,,,5V TTL,0.6,1.1,,,,,,,,,,,,,,,,,,,24|36|48|60|72
FD060-5-CM,Servo Drives,"<br>The FD060-5-CM is a servo drive and development board assembly for a FE060-5-CM FlexPro® servo drive with IMPACT™ architecture. Connections to the controller, motor, power, and feedback are simplified through the standard connectors featured on the board. The FD060-5-CM is ideal for prototyping and can be used in production and industrial environments as well.",FD060-5-CM,,Sinusoidal|Trapezoidal,10|12|24|36|48,Oct-55,,Active,FlexPro,Development Board,FDC,5,10,CANopen,Safe Torque Off (STO),114.3 x 91.4 x 26.0,178.5,±10 V Analog|Step & Direction (5V)|Encoder Following|Indexing|Jogging|Over the Network|Sequencing,BiSS C-Mode|EnDat® 2.2|Tamagawa|SSI|Halls|Incremental Encoder|Tachometer (±10 VDC),Interpolated Position Mode (PVT)|Profile Modes|Cyclic Synchronous Modes|Current|Position|Velocity,Three Phase (Brushless)|Single Phase (Brushed)|AC Induction|Stepper,Motion Engine,Incremental Encoder,CANopen,USB,Standard,Universal,,5V TTL,0.3,0.5,,,,,,4,3,,,,1,,,,,,,DescFile-005|,10|12|24|36|48
FM060-1-RM,Servo Drives,"<br>The micro-sized FM060-1-RM FlexPro® drive with IMPACT™ architecture is an all-purpose digital servo drive for centralized or distributed control systems with RS485/232 communication. Its compact size makes it perfect for any application where space is a limiting factor. This drive is an alternate version of the FE060-1-RM, featuring convenient connectors instead of direct plug-in, so you can easily integrate it into any system.",FM060-1-RM,,Sinusoidal|Trapezoidal,10|12|24|36|48,Oct-55,,Active,FlexPro,Machine Embedded,FMR,1,2,RS485/232,Safe Torque Off (STO),50.8 x 25.4 x 22.0,34,±10 V Analog|Step & Direction (5V)|Encoder Following|Indexing|Jogging|Over the Network|Sequencing,BiSS C-Mode|EnDat® 2.2|Tamagawa|SSI|Halls|Incremental Encoder|Tachometer (±10 VDC),Current|Hall Velocity|Position|Velocity,Three Phase (Brushless)|Single Phase (Brushed)|AC Induction|Stepper,Motion Engine,Incremental Encoder,RS-485/232,USB,Standard,Universal,,5V TTL,0.05,0.1,,,,,,4,3,,,,1,,,,,,,,10|12|24|36|48
AZXBE8A8,Servo Drives,"<br>The AZXBE8A8 AxCent™ extended environment pcb mount servo motor driver is targeted for centralized control in harsh temperatures or rugged environments, and offers high bandwidth and quick response times.",AZXBE8A8,,Trapezoidal,10|12|24|36|48|60|72,Oct-80,,Active,AxCent,PCB Mount,AZX_10V,4,8,None,,63.5 x 50.8 x 22.9,94.5,±10 V Analog,Halls|Incremental Encoder|Tachometer (±60 VDC),Current|Duty Cycle (Open Loop)|Velocity,Three Phase (Brushless)|Single Phase (Brushed),None,,None,,Extended,,,5V TTL,0.3,0.6,,,,,,,,,,,,,,,,,,,10|12|24|36|48|60|72
FE060-10-CM,Servo Drives,<br>The FE060-10-CM FlexPro® pcb mount servo drive with IMPACT™ architecture offers full tuning control of all servo loops and is designed for distributed or centralized servo systems. This servo drive utilizes CANopen communication and is commissioned via a USB interface.,FE060-10-CM,,Sinusoidal|Trapezoidal,10|12|24|36|48,Oct-55,,Active,FlexPro,PCB Mount,FEC,10,20,CANopen,Safe Torque Off (STO),38.1 x 25.4 x 11.5,19.8,±10 V Analog|Step & Direction (5V)|Encoder Following|Indexing|Jogging|Over the Network|Sequencing,BiSS C-Mode|EnDat® 2.2|Tamagawa|SSI|Halls|Incremental Encoder|Tachometer (±10 VDC),Interpolated Position Mode (PVT)|Profile Modes|Cyclic Synchronous Modes|Current|Position|Velocity,Three Phase (Brushless)|Single Phase (Brushed)|AC Induction|Stepper,Motion Engine,Incremental Encoder,CANopen,USB,Standard,Universal,,5V TTL,0.5,1,,,,,,4,3,,,,1,,,,,,,DescFile-005|,10|12|24|36|48
FD060-10-CM,Servo Drives,"<br>The FD060-10-CM is a servo drive and development board assembly for a FE060-10-CM FlexPro® servo drive with IMPACT™ architecture. Connections to the controller, motor, power, and feedback are simplified through the standard connectors featured on the board. The FD060-10-CM is ideal for prototyping and can be used in production and industrial environments as well.",FD060-10-CM,,Sinusoidal|Trapezoidal,10|12|24|36|48,Oct-55,,Active,FlexPro,Development Board,FDC,10,20,CANopen,Safe Torque Off (STO),114.3 x 91.4 x 26.0,178.5,±10 V Analog|Step & Direction (5V)|Encoder Following|Indexing|Jogging|Over the Network|Sequencing,BiSS C-Mode|EnDat® 2.2|Tamagawa|SSI|Halls|Incremental Encoder|Tachometer (±10 VDC),Interpolated Position Mode (PVT)|Profile Modes|Cyclic Synchronous Modes|Current|Position|Velocity,Three Phase (Brushless)|Single Phase (Brushed)|AC Induction|Stepper,Motion Engine,Incremental Encoder,CANopen,USB,Standard,Universal,,5V TTL,0.5,1,,,,,,4,3,,,,1,,,,,,,DescFile-005|,10|12|24|36|48
AZB10A4,Servo Drives,<br>The AZB10A4 AxCent™ pcb mount servo motor drive is targeted for centralized control and offers high bandwidth and quick response times.,AZB10A4,,Trapezoidal,10|12|24|36,Oct-36,,Active,AxCent,PCB Mount,AZ_10V_Brushless,5,10,None,,38.1 x 38.1 x 7.34,8.5,±10 V Analog,Halls,Current,Three Phase (Brushless)|Single Phase (Brushed),None,,None,,Standard,,,5V TTL,0.2,0.3,,,,,,,,,,,,,,,,,,,10|12|24|36
AZXBDC15A8,Servo Drives,"<br>The AZXBDC15A8 AxCent™ extended environment pcb mount servo motor driver is targeted for centralized control in harsh temperatures or rugged environments, and offers high bandwidth and quick response times.",AZXBDC15A8,,Trapezoidal,10|12|24|36|48|60|72,Oct-80,,Active,AxCent,PCB Mount,AZX_PWM,7.5,15,None,,63.5 x 50.8 x 22.9,94.5,PWM and Direction,Halls,Current,Three Phase (Brushless)|Single Phase (Brushed),None,,None,,Extended,,,5V TTL,0.6,1.1,,,,,,,,,,,,,,,,,,,10|12|24|36|48|60|72
FXE060-5-CM,Servo Drives,<br>The FXE060-5-CM FlexPro® Extended Environment servo drive with IMPACT™ architecture offers full tuning control of all servo loops and is designed for distributed or centralized servo systems. This servo drive utilizes CANopen communication and is commissioned via a USB interface.,FXE060-5-CM,,Sinusoidal|Trapezoidal,10|12|24|36|48,Oct-55,,Active,FlexPro,PCB Mount,FXEC,5,10,CANopen,Safe Torque Off (STO),38.1 x 25.4 x 11.5,19.8,±10 V Analog|Step & Direction (5V)|Encoder Following|Indexing|Jogging|Over the Network|Sequencing,BiSS C-Mode|EnDat® 2.2|Tamagawa|SSI|Halls|Incremental Encoder|Tachometer (±10 VDC),Interpolated Position Mode (PVT)|Profile Modes|Cyclic Synchronous Modes|Current|Position|Velocity,Three Phase (Brushless)|Single Phase (Brushed)|AC Induction|Stepper,Motion Engine,Incremental Encoder,CANopen,USB,Extended,Universal,,5V TTL,0.3,0.5,,,,,,4,3,,,,1,,,,,,,DescFile-005|,10|12|24|36|48
FE060-1-EM,Servo Drives,<br>The FE060-1-EM FlexPro® pcb mount servo drive with IMPACT™ architecture offers full tuning control of all servo loops and is designed for distributed or centralized servo systems. This servo drive utilizes EtherCAT® communication and is commissioned via a USB interface.,FE060-1-EM,,Sinusoidal|Trapezoidal,10|12|24|36|48,Oct-55,,Active,FlexPro,PCB Mount,FEE,1,2,EtherCAT,Safe Torque Off (STO),38.1 x 25.4 x 16.0,22.7,±10 V Analog|Step & Direction (5V)|Encoder Following|Indexing|Jogging|Over the Network|Sequencing,BiSS C-Mode|EnDat® 2.2|Halls|Incremental Encoder|Tachometer (±10 VDC),Profile Modes|Cyclic Synchronous Modes|Current|Position|Velocity,Three Phase (Brushless)|Single Phase (Brushed)|Stepper,Motion Engine,Incremental Encoder,EtherCAT,USB,Standard,Universal,,5V TTL,0.05,0.1,,,,,,4,3,,,,1,,,,,,,DescFile-004|,10|12|24|36|48
